,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
0,POINT (714683.7 98412.60000000001),1060,,3652.0,,2714683.76,1,['Via Cantonale'],,Via Cantonale 8,10132830,1098412.59,Manno,,,CH740702954862,101327959,0,6928,24.08.2021,,['Via Cantonale'],['IT'],24.08.2021,,3.0,,8011.0,433d,,1004,0,TI,1098412.59,,0,,,DPSSP 820,8,,,,905,,,Via Cantonale 8,Manno,433,5194,11100538,6928/692800,0,['Can'],,2714683.76,
1,POINT (715169.9 99417.5),1060,,372.0,,2715169.92,1,['Via Violino'],,Via Violino 7,10128275,1099417.46,Manno,,,CH129541020758,102174583,0,6928,24.08.2021,,['Via Violino'],['IT'],24.08.2021,,2.0,,8016.0,760a,,1004,0,TI,1099417.46,,0,1985.0,,Pangas,7,,,,905,,,Via Violino 7,Manno,760,5194,11100541,6928/692800,0,['Vio'],,2715169.92,1230.0
2,POINT (715079.6 99486.7),1060,,359.0,,2715079.68,1,['Via Vedeggio'],,Via Vedeggio 3,10013663,1099486.66,Manno,,,CH409507400224,101326417,0,6928,24.08.2021,,['Via Vedeggio'],['IT'],24.08.2021,,1.0,,8011.0,687a,,1004,0,TI,1099486.66,,0,,,Garage Canonica SAGL,3,,,,905,,,Via Vedeggio 3,Manno,687,5194,11100543,6928/692800,0,['Ved'],,2715079.68,
3,POINT (714743 98679.8),1060,,856.0,,2714743.04,1,['Via Cantonale'],,Via Cantonale 16e,10132830,1098679.76,Manno,,,CH270795480218,101326416,0,6928,24.08.2021,,['Via Cantonale'],['IT'],24.08.2021,,5.0,,8015.0,472a,,1004,0,TI,1098679.76,,0,1978.0,,,16e,,,,905,,,Via Cantonale 16e,Manno,472,5194,11100544,6928/692800,0,['Can'],,2714743.04,1220.0
4,POINT (714933.4 98800.60000000001),1060,,576.0,,2714933.46,1,['Via Gerre'],,Via Gerre 4,10132834,1098800.58,Manno,,,CH140702954872,102184130,0,6928,24.08.2021,,['Via Gerre'],['IT'],24.08.2021,,2.0,,8011.0,468a,,1004,0,TI,1098800.58,,0,,,Geberit SA,4,,,,905,,,Via Gerre 4,Manno,468,5194,11100545,6928/692800,0,['Ger'],,2714933.46,
5,POINT (714702.2 99415.39999999999),1060,,512.0,,2714702.21,1,['Via Asilo'],,Via Asilo 3,10167880,1099415.38,Manno,,,CH153602950725,101326415,0,6928,24.08.2021,,['Via Asilo'],['IT'],24.08.2021,,1.0,,8015.0,277a,,1004,0,TI,1099415.38,,0,1972.0,,Scuola dell'infanzia,3,,,,905,,,Via Asilo 3,Manno,277,5194,11100547,6928/692800,0,['Asi'],,2714702.21,1263.0
6,POINT (714723.7 99609),1060,,,,2714723.74,1,['Via Grumo'],,Via Grumo 19,10132835,1099608.9,Manno,,,CH583502079543,101326414,0,6928,24.08.2021,,['Via Grumo'],['IT'],24.08.2021,,2.0,,8011.0,216bc,,1004,0,TI,1099608.9,,0,,,scuola dell'infanzia,19,,,,905,,,Via Grumo 19,Manno,216,5194,11100548,6928/692800,0,['Gru'],,2714723.74,1263.0
7,POINT (714895.2 99110.2),1060,,342.0,,2714895.22,1,['Via Cantonale'],,Via Cantonale 35a,10132830,1099110.14,Manno,,,CH240702954145,101327962,0,6928,24.08.2021,,['Via Cantonale'],['IT'],24.08.2021,,4.0,,8011.0,776a,,1004,0,TI,1099110.14,,0,,,,35a,,,,905,,,Via Cantonale 35a,Manno,776,5194,11100558,6928/692800,0,['Can'],,2714895.22,
8,POINT (714877.2 98977),1060,,721.0,,2714877.237,1,['Via Norello'],,Via Norello 1,10132838,1098976.967,Manno,,,CH610747029569,101327971,0,6928,24.08.2021,,['Via Norello'],['IT'],24.08.2021,,2.0,,8016.0,416a,,1004,0,TI,1098976.967,,0,1982.0,,,1,,,,905,,,Via Norello 1,Manno,416,5194,11100560,6928/692800,0,['Nor'],,2714877.237,1251.0
9,POINT (714937.9 99091.7),1060,,654.0,,2714937.91,1,['Via Cantonale'],,Via Cantonale 31,10132830,1099091.61,Manno,,,CH529547020762,101327970,0,6928,24.08.2021,,['Via Cantonale'],['IT'],24.08.2021,,3.0,,8017.0,407a,,1004,0,TI,1099091.61,,0,1987.0,,,31,,,,905,,,Via Cantonale 31,Manno,407,5194,11100561,6928/692800,0,['Can'],,2714937.91,1251.0
