index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot;P_tot
7992;POINT (716004.1 90653.60000000001);190343208;62a;;Via Maistra 23;Carona;6914;Lugano;1020;1110.0;8011.0;38.0;3.0;2716004.097;1090653.519;114.0;154;17556.0;14;1596.0;19152.0;9.576
7993;POINT (716479.1 91776.8);190343248;1074a;;Via Ronchetti 6;Carona;6914;Lugano;1020;1121.0;8014.0;130.0;2.0;2716479.178;1091776.773;260.0;131;34060.0;21;5460.0;39520.0;19.76
7994;POINT (715686.1 90238.8);190343350;399df;;Via Madonna D'Ongero 2;Carona;6914;Lugano;1020;1110.0;8015.0;163.0;2.0;2715686.131;1090238.763;326.0;100;32600.0;14;4564.0;37164.0;18.582
7995;POINT (716529.1 90896.8);190343428;876a;;Via Lugia 43;Carona;6914;Lugano;1020;1110.0;8014.0;69.0;2.0;2716529.164;1090896.771;138.0;131;18078.0;14;1932.0;20010.0;10.005
7996;POINT (716094.6 90712.60000000001);190343548;130a;;Via Maistra 5;Carona;6914;Lugano;1040;1121.0;8011.0;40.0;2.0;2716094.63;1090712.52;80.0;154;12320.0;21;1680.0;14000.0;7.0
7997;POINT (715997.6 90678.89999999999);190343788;70a;;Strada da Sora 29;Carona;6914;Lugano;1020;1110.0;8011.0;70.0;2.0;2715997.67;1090678.87;140.0;154;21560.0;14;1960.0;23520.0;11.76
7998;POINT (723918.3 104792.1);190345089;153a;;Piandera ;Piandera Paese;6959;Lugano;1020;1110.0;8022.0;156.0;2.0;2723918.381;1104792.024;312.0;14;4368.0;14;4368.0;8736.0;4.368
7999;POINT (715928.4 90246.39999999999);190347648;1112a;;Via Principale 69;Carona;6914;Lugano;1020;1110.0;8015.0;108.0;2.0;2715928.46;1090246.38;216.0;100;21600.0;14;3024.0;24624.0;12.312
8000;POINT (724005 104847);190355531;180a;;Piandera ;Piandera Paese;6959;Lugano;1020;1121.0;8020.0;197.0;2.0;2724005.06;1104846.97;394.0;16;6304.0;21;8274.0;14578.0;7.289
8001;POINT (722600.3 104646);190355568;376a;;Curtina ;Curtina;6959;Lugano;1020;1110.0;8020.0;80.0;2.0;2722600.337;1104645.987;160.0;16;2560.0;14;2240.0;4800.0;2.4
8002;POINT (723763.2 104650.8);190355588;293a;;Piandera ;Piandera Paese;6959;Lugano;1020;1110.0;8019.0;96.0;2.0;2723763.228;1104650.74;192.0;60;11520.0;14;2688.0;14208.0;7.104
8003;POINT (723141.2 105333.6);190355589;835a;;Insone ;Insone;6951;Lugano;1020;1110.0;8017.0;57.0;2.0;2723141.26;1105333.56;114.0;76;8664.0;14;1596.0;10260.0;5.13
8004;POINT (723036.3 105116.1);190355608;622a;;Insone ;Insone;6951;Lugano;1020;1110.0;8013.0;100.0;2.0;2723036.355;1105116.019;200.0;141;28200.0;14;2800.0;31000.0;15.5
8005;POINT (723082.3 105169.1);190355628;614a;;Strada d'Anson 28;Insone;6951;Lugano;1020;1110.0;8012.0;72.0;2.0;2723082.356;1105169.022;144.0;149;21456.0;14;2016.0;23472.0;11.736
8006;POINT (723073.9 105166.6);190355629;612a;;Insone ;Insone;6951;Lugano;1020;1110.0;8012.0;37.0;2.0;2723073.942;1105166.56;74.0;149;11026.0;14;1036.0;12062.0;6.031
8007;POINT (723046.8 105166.4);190355630;608a;;Insone ;Insone;6951;Lugano;1020;1110.0;8012.0;80.0;2.0;2723046.83;1105166.33;160.0;149;23840.0;14;2240.0;26080.0;13.04
8008;POINT (723634.3 104979.1);190355648;249a;Casa monofamigliare o bifamigliare (144);Maglio di Colla ;Maglio di Colla;6959;Lugano;1020;1110.0;8013.0;100.0;2.0;2723634.376;1104979.034;200.0;141;28200.0;14;2800.0;31000.0;15.5
8009;POINT (722672.9 104518.5);190355669;467a;;Curtina ;Curtina;6959;Lugano;1020;1110.0;8012.0;61.0;2.0;2722672.96;1104518.41;122.0;149;18178.0;14;1708.0;19886.0;9.943
8010;POINT (723047.8 105526.3);190355729;786b;;Insone ;Insone;6951;Lugano;1020;1110.0;8011.0;32.0;2.0;2723047.86;1105526.28;64.0;154;9856.0;14;896.0;10752.0;5.376
8011;POINT (722610.8 104622.4);190355749;381a;;Curtina ;Curtina;6959;Lugano;1020;1110.0;8012.0;71.0;2.0;2722610.88;1104622.306;142.0;149;21158.0;14;1988.0;23146.0;11.573
8012;POINT (723853.3 104805.1);190355788;105a;;Piandera ;Piandera Paese;6959;Lugano;1020;1110.0;8012.0;36.0;2.0;2723853.38;1104805.025;72.0;149;10728.0;14;1008.0;11736.0;5.868
8013;POINT (725559.8 106356.2);190355809;2428a;;Cozzo ;Cozzo;6951;Lugano;1020;1121.0;8011.0;92.0;2.0;2725559.881;1106356.164;184.0;154;28336.0;21;3864.0;32200.0;16.1
8014;POINT (725107.1 106719.2);190355829;969a;;Barchi di Colla ;Colla;6951;Lugano;1020;1110.0;8012.0;35.0;2.0;2725107.161;1106719.106;70.0;149;10430.0;14;980.0;11410.0;5.705
8015;POINT (723609.3 105551.1);190355835;1180a;;Scareglia ;Scareglia;6951;Lugano;1020;1110.0;8012.0;83.0;3.0;2723609.367;1105551.02;249.0;149;37101.0;14;3486.0;40587.0;20.2935
8016;POINT (723059.9 105049.8);190363290;672a;;Insone ;Insone;6951;Lugano;1020;1110.0;8013.0;105.0;2.0;2723059.91;1105049.79;210.0;141;29610.0;14;2940.0;32550.0;16.275
8017;POINT (719611.9 101385.1);190364609;1413a;;ra Róda 4;Dino;6967;Lugano;1020;1110.0;8013.0;58.0;3.0;2719611.95;1101385.07;174.0;141;24534.0;14;2436.0;26970.0;13.485
8018;POINT (724881.4 105841.1);190366657;2056a;;Colla ;Colla;6951;Lugano;1020;1121.0;8022.0;69.0;2.0;2724881.398;1105841.019;138.0;14;1932.0;21;2898.0;4830.0;2.415
