,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
10,POINT (719170.2 88000.8),1020,,62.0,,2719170.191,1,['Via Ressiga'],,Via Ressiga 1,10139137,1088000.727,Maroggia,,,CH540702954437,101246323,0,6817,05.09.2021,"['', '', '']",['Via Ressiga'],['IT'],05.09.2021,"[3004, 3004, 3004]",2.0,,8012.0,93a,"['1', '2', '3']",1004,0,TI,1088000.727,3.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,1,,"['', '', '']","[3100, 3402, 3401]",905,,"[0, 0, 0]",Via Ressiga 1,Maroggia,93,5195,11143434,6817/681700,0,['Res'],"['_555000042', '', '']",2719170.191,1122.0
11,POINT (719124.7 87969.3),1020,,85.0,,2719124.778,1,['Via Ressiga'],,Via Ressiga 5,10139137,1087969.291,Maroggia,,,CH554402950761,101604481,0,6817,05.09.2021,[''],['Via Ressiga'],['IT'],05.09.2021,[3004],2.0,,8012.0,94a,['1'],1004,0,TI,1087969.291,1.0,0,,['2021-09-05T00:00:00'],,5,,[''],[3100],905,,[0],Via Ressiga 5,Maroggia,94,5195,11143435,6817/681700,0,['Res'],['_555000017'],2719124.778,1110.0
12,POINT (719093.3 88092),1020,,145.0,,2719093.34,1,['Vicolo del Tiglio'],,Vicolo del Tiglio 6,10139142,1088091.93,Maroggia,,,CH669502074457,101604482,0,6817,05.09.2021,[''],['Vicolo del Tiglio'],['IT'],05.09.2021,[3004],1.0,,8012.0,112a,['1'],1004,0,TI,1088091.93,1.0,0,,['2021-09-05T00:00:00'],,6,,[''],[3100],905,,[0],Vicolo del Tiglio 6,Maroggia,112,5195,11143436,6817/681700,0,['Tig'],['_555000361'],2719093.34,1110.0
13,POINT (719134.7 88068.5),1020,,175.0,,2719134.737,1,['Vicolo del Tiglio'],,Vicolo del Tiglio 2,10139142,1088068.44,Maroggia,,,CH770795450251,101246324,0,6817,05.09.2021,"['', '']",['Vicolo del Tiglio'],['IT'],05.09.2021,"[3004, 3004]",3.0,,8012.0,114a,"['1', '2']",1004,0,TI,1088068.44,2.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,2,,"['', '']","[3100, 3401]",905,,"[0, 0]",Vicolo del Tiglio 2,Maroggia,114,5195,11143437,6817/681700,0,['Tig'],"['_555000043', '_555000044']",2719134.737,1121.0
14,POINT (719139.7 88035.89999999999),1020,,149.0,,2719139.75,1,['Vicolo del Tiglio'],,Vicolo del Tiglio 1,10139142,1088035.8,Maroggia,,,CH790295450719,101246325,0,6817,05.09.2021,"['', '', '']",['Vicolo del Tiglio'],['IT'],05.09.2021,"[3004, 3004, 3003]",3.0,,8012.0,116a,"['1', '2', '3']",1004,0,TI,1088035.8,2.0,0,1927.0,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,1,,"['', '', '']","[3100, 3401, 3101]",905,,"[0, 0, 0]",Vicolo del Tiglio 1,Maroggia,116,5195,11143438,6817/681700,0,['Tig'],"['_555000045', '_555000046', '']",2719139.75,1121.0
15,POINT (719055.1 88044.8),1020,,118.0,,2719055.189,1,['Via Monte Generoso'],,Via Monte Generoso 8,10139135,1088044.733,Maroggia,,,CH710745029553,101271363,0,6817,05.09.2021,"['', '']",['Via Monte Generoso'],['IT'],05.09.2021,"[3004, 3004]",2.0,,8012.0,118a,"['1', '2']",1004,0,TI,1088044.733,2.0,0,,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,8,,"['', '']","[3100, 3101]",905,,"[0, 0]",Via Monte Generoso 8,Maroggia,118,5195,11143439,6817/681700,0,['Gen'],"['_555000181', '_555000182']",2719055.189,1121.0
16,POINT (719014.8 88247),1020,,181.0,,2719014.86,1,['Via ai Molini'],,Via ai Molini 16,10128279,1088246.91,Maroggia,,,CH809507450267,101271367,0,6817,05.09.2021,"['', '', '', '', '', '']",['Via ai Molini'],['IT'],05.09.2021,"[3004, 3004, 3004, 3004, 3004, 3004]",4.0,,8014.0,131a,"['1', '2', '3', '4', '6', '7']",1004,0,TI,1088246.91,6.0,0,1961.0,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,16,,"['', '', '', '', '', '']","[3100, 3101, 3102, 3103, 3101, 3101]",905,,"[0, 0, 0, 0, 0, 0]",Via ai Molini 16,Maroggia,131,5195,11143443,6817/681700,0,['Mol'],"['_555000051', '_555000052', '_555000053', '_555000054', '_183', '_555000613']",2719014.86,1122.0
17,POINT (718914.4 88242.89999999999),1020,,102.0,,2718914.419,1,['Via ai Molini'],,Via ai Molini 6,10128279,1088242.871,Maroggia,,,CH840702954531,101271368,0,6817,05.09.2021,[''],['Via ai Molini'],['IT'],05.09.2021,[3004],2.0,,8012.0,139a,['1'],1004,0,TI,1088242.871,1.0,0,,['2021-09-05T00:00:00'],,6,,[''],[3100],905,,[0],Via ai Molini 6,Maroggia,139,5195,11143444,6817/681700,0,['Mol'],['_555000055'],2718914.419,1110.0
18,POINT (719001.1 88316.8),1030,,242.0,,2719001.19,1,['Via ai Molini'],,Via ai Molini 73,10128279,1088316.733,Maroggia,,,CH990295450748,101271369,0,6817,05.09.2021,"['', '', '', '', '', '', '', '', '', '', '', '']",['Via ai Molini'],['IT'],05.09.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",4.0,,8014.0,146a,"['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",1004,0,TI,1088316.733,12.0,0,1965.0,"['2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00', '2021-09-05T00:00:00']",,73,,"['', '', '', '', '', '', '', '', '', '', '', '']","[3100, 3103, 3101, 3101, 3101, 3102, 3102, 3102, 3103, 3103, 3100, 3100]",905,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Via ai Molini 73,Maroggia,146,5195,11143445,6817/681700,0,['Mol'],"['_555000056', '_555000184', '_555000059', '_555000060', '_555000061', '_555000062', '_555000063', '_555000064', '_555000065', '_555000110', '_555000058', '_57']",2719001.19,1122.0
19,POINT (718982.1 88309.8),1020,,190.0,,2718982.19,1,['Via ai Molini'],,Via ai Molini 67,10128279,1088309.734,Maroggia,,,CH909507450233,101271370,0,6817,05.09.2021,"['', '']",['Via ai Molini'],['IT'],05.09.2021,"[3004, 3004]",2.0,,8014.0,147a,"['1', '3']",1004,0,TI,1088309.734,2.0,0,1963.0,"['2021-09-05T00:00:00', '2021-09-05T00:00:00']",,67,,"['', '']","[3100, 3102]",905,,"[0, 0]",Via ai Molini 67,Maroggia,147,5195,11143446,6817/681700,0,['Mol'],"['_555000066', '_67']",2718982.19,1121.0
