,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
0,POINT (716841.2 94626.89999999999),1060,,51.0,,2716841.198,1,['Riva Paradiso'],,Riva Paradiso 113,10129473,1094626.85,Paradiso,,,CH690296670775,101336656,0,6900,24.08.2021,,['Riva Paradiso'],['IT'],24.08.2021,,1.0,,8013.0,40d,,1004,9,TI,1094626.85,,0,1954.0,,,113,,,,905,,,Riva Paradiso 113,Paradiso,40,5210,11102621,6900/690009,0,['Par'],,2716841.198,1230.0
1,POINT (716754.2 94366.89999999999),1060,,615.0,,2716754.196,1,['Viale San Salvatore'],,Viale San Salvatore 13,10129488,1094366.839,Paradiso,,,CH910768029668,101335132,0,6900,24.08.2021,,['Viale San Salvatore'],['IT'],24.08.2021,,5.0,,,82a,,1004,9,TI,1094366.839,,0,,,,13,,,,905,,,Viale San Salvatore 13,Paradiso,82,5210,11102623,6900/690009,0,['Sal'],,2716754.196,
2,POINT (716725.7 93985.3),1020,,274.0,,2716725.78,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 1,10129475,1093985.29,Paradiso,,,CH840702966904,101194580,0,6900,24.08.2021,"['', '', '', '', '', '', '', '', '', '', '']",['Via Antonietti'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",5.0,,8018.0,206a,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '12']",1004,9,TI,1093985.29,11.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,1,,"['', '', '', '', '', '', '', '', '', '', '']","[3104, 3101, 3101, 3101, 3100, 3102, 3103, 3103, 3104, 3102, 3101]",905,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Via Alessandro Antonietti 1,Paradiso,206,5210,11147210,6900/690009,0,['Ant'],"['5_12', '6_3', '7_4', '8_5', '2_1', '10_7', '12_9', '3_10', '4_11', '11_8', '9_6']",2716725.78,1122.0
3,POINT (716677.2 93982.89999999999),1020,,118.0,,2716677.196,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 3,10129475,1093982.823,Paradiso,,,CH270796610267,101194581,0,6900,24.08.2021,[''],['Via Antonietti'],['IT'],24.08.2021,[3004],1.0,,8013.0,450c,['1'],1004,9,TI,1093982.823,1.0,0,,['2021-08-24T00:00:00'],,3,,[''],[3100],905,,[0],Via Alessandro Antonietti 3,Paradiso,450,5210,11147211,6900/690009,0,['Ant'],['13_1'],2716677.196,1110.0
4,POINT (716704.8 94012.3),1020,,128.0,,2716704.83,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 4,10129475,1094012.24,Paradiso,,,CH956102960745,101194582,0,6900,24.08.2021,[''],['Via Antonietti'],['IT'],24.08.2021,[3004],1.0,,8013.0,438d,['1'],1004,9,TI,1094012.24,1.0,0,,['2021-08-24T00:00:00'],,4,,[''],[3100],905,,[0],Via Alessandro Antonietti 4,Paradiso,438,5210,11147212,6900/690009,0,['Ant'],['14_1'],2716704.83,1110.0
5,POINT (716643.2 93989.89999999999),1020,,680.0,,2716643.196,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 5,10129475,1093989.824,Paradiso,,,CH509607610294,101182923,0,6900,24.08.2021,"['', '', '', '', '', '', '', '', '', '', '', '', '']",['Via Antonietti'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",6.0,,8014.0,495a,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '14', '15', '16', '17']",1004,9,TI,1093989.824,13.0,0,1962.0,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,5,,"['', '', '', '', '', '', '', '', '', '', '', '', '']","[3101, 3101, 3102, 3102, 3102, 3104, 3103, 3105, 3101, 3100, 3103, 3101, 3102]",905,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Via Alessandro Antonietti 5,Paradiso,495,5210,11147213,6900/690009,0,['Ant'],"['21_3', '22_4', '24_6', '25_7', '26_8', '18_12', '17_11', '19_13', '23_5', '15_1', '16_10', '20_2', '27_9']",2716643.196,1122.0
6,POINT (716682 94016.10000000001),1020,,166.0,,2716682.0,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 6,10129475,1094016.0,Paradiso,,,CH929661020764,101182924,0,6900,24.08.2021,[''],['Via Antonietti'],['IT'],24.08.2021,[3004],1.0,,8013.0,434a,['1'],1004,9,TI,1094016.0,1.0,0,,['2021-08-24T00:00:00'],,6,,[''],[3100],905,,[0],Via Alessandro Antonietti 6,Paradiso,434,5210,11147214,6900/690009,0,['Ant'],['28_1'],2716682.0,1110.0
7,POINT (716643.5 94036),1020,,239.0,,2716643.58,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 10,10129475,1094035.92,Paradiso,,,CH230296076147,101187062,0,6900,24.08.2021,"['', '']",['Via Antonietti'],['IT'],24.08.2021,"[3004, 3004]",2.0,,8013.0,459c,"['1', '2']",1004,9,TI,1094035.92,2.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00']",,10,,"['', '']","[3101, 3100]",905,,"[0, 0]",Via Alessandro Antonietti 10,Paradiso,459,5210,11147218,6900/690009,0,['Ant'],"['47_3', '46_1/2']",2716643.58,1121.0
8,POINT (716595.4 94028.7),1020,,187.0,,2716595.46,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 12,10129475,1094028.6,Paradiso,,,CH809607600292,101187063,0,6900,24.08.2021,[''],['Via Antonietti'],['IT'],24.08.2021,[3004],2.0,,8013.0,309a,['3'],1004,9,TI,1094028.6,1.0,0,,['2021-08-24T00:00:00'],,12,,[''],[3100],905,,[0],Via Alessandro Antonietti 12,Paradiso,309,5210,11147220,6900/690009,0,['Ant'],['59_1'],2716595.46,1110.0
9,POINT (716486.1 93969.8),1030,,649.0,,2716486.1,1,['Via Alessandro Antonietti'],,Via Alessandro Antonietti 17,10129475,1093969.74,Paradiso,,,CH286102079624,101187065,0,6900,24.08.2021,"['', '', '', '', '', '', '', '']",['Via Antonietti'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",7.0,,8017.0,451d,"['1', '2', '3', '4', '5', '6', '7', '8']",1004,9,TI,1093969.74,8.0,0,1988.0,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",Abitazione da 3 a 10 appartamenti (0),17,,"['', '', '', '', '', '', '', '']","[3101, 3105, 3104, 3106, 3104, 3103, 3104, 3102]",905,,"[0, 0, 0, 0, 0, 0, 0, 0]",Via Alessandro Antonietti 17,Paradiso,451,5210,11147223,6900/690009,0,['Ant'],"['81_1', '87_7', '84_4', '88_8', '86_6', '83_3', '85_5', '82_2']",2716486.1,1122.0
