,geometry,gkat,gabbj,garea,ltyp,gkode,stroffiziel,strname,gazzi,strname_deinr,esid,gkodn,dplzname,gvol,gbaum,egrid,egaid,lgbkr,dplz4,gexpdat,wbez,strnamk,strsp,dexpdat,wstat,gastw,lparzsx,gbaup,gebnr,ewid,gstat,dplzz,gdekt,dkodn,ganzwhg,doffadr,gbauj,wexpdat,gbez,deinr,gvolnorm,weinr,wstwk,gksce,gvolsce,wmehrg,label,ggdename,lparz,ggdenr,egid,plz_plz6,edid,strindx,whgnr,dkode,gklas
0,POINT (704884.4 114499.1),1020,,137.0,,2704884.4,1,['Via delle Palme'],,Via delle Palme 11,10137780,1114498.996,Muralto,,,CH530298071768,101425208,0,6600,24.08.2021,[''],['Via delle Palme'],['IT'],24.08.2021,[3004],3.0,,8016.0,107a,['1'],1004,2,TI,1114498.996,1.0,0,1985.0,['2021-08-24T00:00:00'],,11,,[''],[3100],905,,[1],Via delle Palme 11,Muralto,107,5120,11171563,6600/660002,0,['Pal'],[''],2704884.4,1110.0
1,POINT (704943 114418.2),1020,,744.0,,2704943.087,1,['Via dei Fiori'],,Via dei Fiori 9,10137774,1114418.143,Muralto,,,CH569802071737,101425210,0,6600,24.08.2021,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",['Via dei Fiori'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",6.0,,8015.0,110b,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25']",1004,2,TI,1114418.143,24.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",Casa Palma,9,,"['75', '76', '74', '77', '78', '79', '80', '81', '88', '89', '90', '91', '92', '101', '100', '99', '102', '103', '112', '111', '110', '113', '114', '121']","[3100, 3100, 3100, 3101, 3101, 3101, 3101, 3101, 3102, 3102, 3102, 3102, 3102, 3103, 3103, 3103, 3103, 3103, 3104, 3104, 3104, 3104, 3104, 3105]",905,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Via dei Fiori 9,Muralto,110,5120,11171565,6600/660002,0,['Fio'],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2704943.087,1122.0
2,POINT (704983.9 114321.7),1020,,285.0,,2704983.98,1,['Via Sempione'],,Via Sempione 20,10136223,1114321.62,Muralto,,,CH670798170245,101651500,0,6600,24.08.2021,"['', '', 'Sinistra', 'Destra']",['Via Sempione'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004]",4.0,,8011.0,112a,"['1', '2', '3', '4']",1004,2,TI,1114321.62,4.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,20,,"['', '', '', '']","[3100, 3101, 3102, 3102]",905,,"[0, 0, 0, 0]",Via Sempione 20,Muralto,112,5120,11171566,6600/660002,0,['Sem'],"['', '', '', '']",2704983.98,1122.0
3,POINT (705047.5 114434.8),1040,,,,2705047.5,1,['Via Sempione'],,Via Sempione 12,10136223,1114434.7,Muralto,,,CH681702079807,101425211,0,6600,24.08.2021,"['', '', '']",['Via Sempione'],['IT'],24.08.2021,"[3004, 3004, 3004]",3.0,,8013.0,113a,"['1', '2', '3']",1004,2,TI,1114434.7,3.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,12,,"['4', '2', '3']","[3101, 3100, 3101]",905,,"[0, 0, 0]",Via Sempione 12,Muralto,113,5120,11171567,6600/660002,0,['Sem'],"['', '', '']",2705047.5,
4,POINT (705057.3 114365.3),1040,,246.0,,2705057.36,1,['Via Sempione'],,Via Sempione 15,10136223,1114365.2,Muralto,,,CH690298170713,101425212,0,6600,24.08.2021,,['Via Sempione'],['IT'],24.08.2021,,5.0,,8011.0,114f,,1004,2,TI,1114365.2,,0,,,Casa Rossa,15,,,,905,,,Via Sempione 15,Muralto,114,5120,11171568,6600/660002,0,['Sem'],,2705057.36,1211.0
5,POINT (705133.1 114472.5),1040,,211.0,,2705133.16,1,['Via Sempione'],,Via Sempione 8,10136223,1114472.41,Muralto,,,CH610717029845,101425214,0,6600,24.08.2021,[''],['Via Sempione'],['IT'],24.08.2021,[3004],5.0,,8013.0,116a,['2'],1004,2,TI,1114472.41,1.0,0,,['2021-08-24T00:00:00'],,8,,[''],[3101],905,,[0],Via Sempione 8,Muralto,116,5120,11171570,6600/660002,0,['Sem'],[''],2705133.16,
6,POINT (705097.3 114484.5),1020,,442.0,,2705097.34,1,['Via del Sole'],,Via del Sole 3,10137778,1114484.46,Muralto,,,CH629817020723,101425215,0,6600,24.08.2021,"['', '']",['Via del Sole'],['IT'],24.08.2021,"[3004, 3004]",2.0,,8012.0,118a,"['1', '2']",1004,2,TI,1114484.46,2.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00']",,3,,"['', '']","[3100, 3101]",905,,"[0, 0]",Via del Sole 3,Muralto,118,5120,11171571,6600/660002,0,['Sol'],"['', '']",2705097.34,1121.0
7,POINT (705088 114524.6),1020,,504.0,,2705088.07,1,['Via dei Fiori'],,Via dei Fiori 2,10137774,1114524.56,Muralto,,,CH630298071734,101425216,0,6600,24.08.2021,"['', '', '', '', '', '', '', '', '', '', '', '']",['Via dei Fiori'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004, 3004]",5.0,,8013.0,119a,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",1004,2,TI,1114524.56,12.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,2,,"['PPP15909', 'PPP15910', 'PPP15913', 'PPP15911', 'PPP15916', 'PPP15912', 'PPP15914', 'PPP15915', 'PPP15919', 'PPP15917', 'PPP15918', 'PPP15920']","[3100, 3100, 3101, 3101, 3102, 3101, 3102, 3102, 3103, 3103, 3103, 3104]",905,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Via dei Fiori 2,Muralto,119,5120,11171572,6600/660002,0,['Fio'],"['App.1', 'App.2', 'App.5', 'App.3', 'App.8', 'App.4', 'App.6', 'App.7', 'App.11', 'App.9', 'App.10', 'App.12']",2705088.07,1122.0
8,POINT (705117.7 114529.5),1020,,358.0,,2705117.76,1,['Via del Sole'],,Via del Sole 7,10137778,1114529.46,Muralto,,,CH640702981721,101425217,0,6600,24.08.2021,"['', '', '', '', '', '', '']",['Via del Sole'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004, 3004, 3004, 3004]",6.0,,8014.0,120a,"['1', '2', '3', '4', '5', '6', '8']",1004,2,TI,1114529.46,7.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,7,,"['5', '6', '7', '3', '2', '4', '1']","[3103, 3104, 3105, 3102, 3101, 3102, 3101]",905,,"[0, 0, 0, 0, 0, 0, 0]",Via del Sole 7,Muralto,120,5120,11171573,6600/660002,0,['Sol'],"['', '', '', '', '', '', '']",2705117.76,1122.0
9,POINT (705160 114531.4),1020,,240.0,,2705160.07,1,['Via del Sole'],,Via del Sole 8,10137778,1114531.31,Muralto,,,CH669802071703,101425219,0,6600,24.08.2021,"['', '', '', '']",['Via del Sole'],['IT'],24.08.2021,"[3004, 3004, 3004, 3004]",5.0,,8013.0,122a,"['3', '5', '6', '7']",1004,2,TI,1114531.31,4.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00', '2021-08-24T00:00:00']",,8,,"['2', '1', '3', '4']","[3101, 3100, 3102, 3103]",905,,"[0, 0, 0, 0]",Via del Sole 8,Muralto,122,5120,11171575,6600/660002,0,['Sol'],"['', '', '', '']",2705160.07,1122.0
10,POINT (705206.4 114608.2),1020,,191.0,,2705206.45,1,['Via del Sole'],,Via del Sole 19,10137778,1114608.13,Muralto,,,CH770798180208,101399735,0,6600,24.08.2021,"['', '']",['Via del Sole'],['IT'],24.08.2021,"[3004, 3004]",3.0,,8013.0,123a,"['1', '2']",1004,2,TI,1114608.13,2.0,0,,"['2021-08-24T00:00:00', '2021-08-24T00:00:00']",,19,,"['', '']","[3100, 3101]",905,,"[0, 0]",Via del Sole 19,Muralto,123,5120,11171576,6600/660002,0,['Sol'],"['App.1', 'App.2']",2705206.45,1121.0
