index;geometry;length
0;LINESTRING (718065.6030339706 96833.86179821295, 718044.2 96807);34.345975985272304
1;LINESTRING (718065.6030339706 96833.86179821295, 718080.2 96869);38.049502520929124
2;LINESTRING (717770.2385166009 96727.52573902498, 717794.2 96767);46.17759160249222
3;LINESTRING (717770.2385166009 96727.52573902498, 717716.8110069723 96736.46377150671);54.16998439871566
4;LINESTRING (717716.8110069723 96736.46377150671, 717740.2 96770);40.8867168699125
5;LINESTRING (717716.8110069723 96736.46377150671, 717642.0385609693 96759.48778059256, 717656.7811728688 96815.50063696461, 717691 96821.7);170.93333146042008
6;LINESTRING (718065.8358293166 96761.29392601224, 718080.3 96757.8);14.880179855691507
7;LINESTRING (718065.8358293166 96761.29392601224, 718091.2 96790);38.30639422137357
8;LINESTRING (717820.4462689306 96675.2958690619, 717818.6767743855 96661.87452700982);13.537486229873558
9;LINESTRING (717818.6767743855 96661.87452700982, 717847.2113707147 96657.81369344245);28.822101882626807
10;LINESTRING (717847.2113707147 96657.81369344245, 717839.7904338011 96609.03614580077, 717835.8585747302 96573.69107068962, 717834.8777392174 96559.95145605803, 717842.0833239915 96504.80858256864, 717866.6 96519.60000000001);182.9212443901885
11;LINESTRING (717847.2113707147 96657.81369344245, 717862.9078106588 96656.59492841798);15.743684927720855
12;LINESTRING (717862.9078106588 96656.59492841798, 717878.2765427198 96657.0932580037);15.376809081826696
13;LINESTRING (717878.2765427198 96657.0932580037, 717911.4272505365 96661.88390627901);33.49507037828418
14;LINESTRING (717911.4272505365 96661.88390627901, 717963.4113744211 96673.86735121012);53.34746562363446
15;LINESTRING (717963.4113744211 96673.86735121012, 717975.0857023215 96675.50613941689);11.788789535516274
16;LINESTRING (717975.0857023215 96675.50613941689, 718033.6424105247 96684.53792444225);59.24914527936038
17;LINESTRING (718033.6424105247 96684.53792444225, 718069.5088386514 96691.09450119219);36.4607921642598
18;LINESTRING (718069.5088386514 96691.09450119219, 718092.6271691446 96694.65712178394, 718094.2069161816 96683.13539731683, 718100.9793045996 96643.61740810893, 718120.2 96658);99.1209705284501
19;LINESTRING (718069.5088386514 96691.09450119219, 718069.2962110878 96694.85964172965);3.7711395820912657
20;LINESTRING (718069.2962110878 96694.85964172965, 718065.8358293166 96761.29392601224);66.52434419174669
21;LINESTRING (717885.2 96744, 717826.0630479951 96718.83480217407);64.26870369039317
22;LINESTRING (717826.0630479951 96718.83480217407, 717820.4462689306 96675.2958690619);43.89973694232901
23;LINESTRING (718065.8358293166 96761.29392601224, 718065.6030339706 96833.86179821295);72.56824559965837
24;LINESTRING (717826.0630479951 96718.83480217407, 717770.2385166009 96727.52573902498);56.496997165561964
