,1110,1121,1122,1130,1211,1212,1220,1230,1231,1241,1242,1251,1252,1261,1262,1263,1264,1265,1271,1272,1273,1274,1275,1276,1277,1278
8011,154,154,154,154,154,154,157,73,133,0,0,128,0,117,117,131,107,117,0,157,0,0,0,0,0,0
8012,149,149,149,149,149,149,157,73,133,0,0,128,0,117,117,131,107,117,0,157,0,0,0,0,0,0
8013,141,141,141,141,141,141,123,73,133,0,0,128,0,117,117,123,107,117,0,123,0,0,0,0,0,0
8014,131,131,131,131,131,131,123,73,133,0,0,128,0,117,117,123,107,117,0,123,0,0,0,0,0,0
8015,100,100,100,100,100,100,123,73,133,0,0,128,0,117,117,123,107,117,0,123,0,0,0,0,0,0
8016,76,76,76,76,76,76,123,73,133,0,0,128,0,117,117,123,107,117,0,123,0,0,0,0,0,0
8017,76,76,76,76,76,76,123,73,133,0,0,128,0,117,117,123,107,117,0,123,0,0,0,0,0,0
8018,60,60,60,60,60,60,87,73,133,0,0,128,0,117,117,109,107,117,0,87,0,0,0,0,0,0
8019,60,60,60,60,60,60,87,73,133,0,0,128,0,117,117,109,107,117,0,87,0,0,0,0,0,0
8020,16,16,16,16,16,16,54,32,58,0,0,56,0,51,51,43,40,81,0,54,0,0,0,0,0,0
8021,16,16,16,16,16,16,54,32,58,0,0,56,0,51,51,43,40,81,0,54,0,0,0,0,0,0
8022,14,14,14,14,14,14,54,32,58,0,0,56,0,51,51,43,40,81,0,54,0,0,0,0,0,0
8023,14,14,14,14,14,14,54,32,58,0,0,56,0,51,51,43,40,81,0,54,0,0,0,0,0,0
