EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11171563;TI;5120;Muralto;1004;bestehend;existant;esistente;2704884.4;1114498.996;0;101425208;10137780;Via delle Palme;11;IT;6600;2;Muralto;2704884.4;1114498.996;0;2021-08-24 00:00:00
11171565;TI;5120;Muralto;1004;bestehend;existant;esistente;2704943.087;1114418.143;0;101425210;10137774;Via dei Fiori;9;IT;6600;2;Muralto;2704943.087;1114418.143;0;2021-08-24 00:00:00
11171566;TI;5120;Muralto;1004;bestehend;existant;esistente;2704983.98;1114321.62;0;101651500;10136223;Via Sempione;20;IT;6600;2;Muralto;2704983.98;1114321.62;0;2021-08-24 00:00:00
11171567;TI;5120;Muralto;1004;bestehend;existant;esistente;2705047.5;1114434.7;0;101425211;10136223;Via Sempione;12;IT;6600;2;Muralto;2705047.5;1114434.7;0;2021-08-24 00:00:00
11171568;TI;5120;Muralto;1004;bestehend;existant;esistente;2705057.36;1114365.2;0;101425212;10136223;Via Sempione;15;IT;6600;2;Muralto;2705057.36;1114365.2;0;2021-08-24 00:00:00
11171569;TI;5120;Muralto;1004;bestehend;existant;esistente;2705096.09;1114419.143;0;101425213;10141345;Via Pioda;1;IT;6600;2;Muralto;2705096.09;1114419.143;0;2021-08-24 00:00:00
11171569;TI;5120;Muralto;1004;bestehend;existant;esistente;2705096.09;1114419.143;1;101864802;10136223;Via Sempione;9;IT;6600;2;Muralto;2705096.09;1114419.143;0;2021-08-24 00:00:00
11171570;TI;5120;Muralto;1004;bestehend;existant;esistente;2705133.16;1114472.41;0;101425214;10136223;Via Sempione;8;IT;6600;2;Muralto;2705133.16;1114472.41;0;2021-08-24 00:00:00
11171571;TI;5120;Muralto;1004;bestehend;existant;esistente;2705097.34;1114484.46;0;101425215;10137778;Via del Sole;3;IT;6600;2;Muralto;2705097.34;1114484.46;0;2021-08-24 00:00:00
11171572;TI;5120;Muralto;1004;bestehend;existant;esistente;2705088.07;1114524.56;0;101425216;10137774;Via dei Fiori;2;IT;6600;2;Muralto;2705088.07;1114524.56;0;2021-08-24 00:00:00
11171573;TI;5120;Muralto;1004;bestehend;existant;esistente;2705117.76;1114529.46;0;101425217;10137778;Via del Sole;7;IT;6600;2;Muralto;2705117.76;1114529.46;0;2021-08-24 00:00:00
11171575;TI;5120;Muralto;1004;bestehend;existant;esistente;2705160.07;1114531.31;0;101425219;10137778;Via del Sole;8;IT;6600;2;Muralto;2705160.07;1114531.31;0;2021-08-24 00:00:00
11171576;TI;5120;Muralto;1004;bestehend;existant;esistente;2705206.45;1114608.13;0;101399735;10137778;Via del Sole;19;IT;6600;2;Muralto;2705206.45;1114608.13;0;2021-08-24 00:00:00
11171577;TI;5120;Muralto;1004;bestehend;existant;esistente;2705223.59;1114621.09;0;101399736;10137778;Via del Sole;27;IT;6600;2;Muralto;2705223.59;1114621.09;0;2021-08-24 00:00:00
11171578;TI;5120;Muralto;1004;bestehend;existant;esistente;2705269.87;1114608.63;0;101399737;10137778;Via del Sole;16;IT;6600;2;Muralto;2705269.87;1114608.63;0;2021-08-24 00:00:00
11171579;TI;5120;Muralto;1004;bestehend;existant;esistente;2705273.95;1114509.75;0;101399738;10136215;Via Mariani;1a;IT;6600;2;Muralto;2705273.95;1114509.75;0;2021-08-24 00:00:00
11171579;TI;5120;Muralto;1004;bestehend;existant;esistente;2705273.95;1114509.75;1;102000243;10136219;Via San Gottardo;1;IT;6600;2;Muralto;2705273.95;1114509.75;0;2021-08-24 00:00:00
11171581;TI;5120;Muralto;1004;bestehend;existant;esistente;2705182.092;1114444.143;0;101399739;10136223;Via Sempione;3;IT;6600;2;Muralto;2705182.092;1114444.143;0;2021-08-24 00:00:00
11171583;TI;5120;Muralto;1004;bestehend;existant;esistente;2705127.26;1114420.35;0;101399740;10136223;Via Sempione;7;IT;6600;2;Muralto;2705127.26;1114420.35;0;2021-08-24 00:00:00
11171584;TI;5120;Muralto;1004;bestehend;existant;esistente;2705262.52;1114428.38;0;101399741;10136225;Via Stazione;6;IT;6600;2;Muralto;2705262.52;1114428.38;0;2021-08-24 00:00:00
11171585;TI;5120;Muralto;1004;bestehend;existant;esistente;2705297.66;1114427.97;0;101399742;10137771;Via Collegiata;1;IT;6600;2;Muralto;2705297.66;1114427.97;0;2021-08-24 00:00:00
11171586;TI;5120;Muralto;1004;bestehend;existant;esistente;2705324.35;1114429.28;0;101399743;10137771;Via Collegiata;3;IT;6600;2;Muralto;2705324.35;1114429.28;0;2021-08-24 00:00:00
11171587;TI;5120;Muralto;1004;bestehend;existant;esistente;2705265.095;1114448.143;0;101399744;10136225;Via Stazione;8;IT;6600;2;Muralto;2705265.095;1114448.143;0;2021-08-24 00:00:00
11171588;TI;5120;Muralto;1004;bestehend;existant;esistente;2705323.68;1114458.12;0;101399745;10136219;Via San Gottardo;4;IT;6600;2;Muralto;2705323.68;1114458.12;0;2021-08-24 00:00:00
11171589;TI;5120;Muralto;1004;bestehend;existant;esistente;2705340.6;1114475.72;0;101399746;10136219;Via San Gottardo;6;IT;6600;2;Muralto;2705340.6;1114475.72;0;2021-08-24 00:00:00
11171590;TI;5120;Muralto;1004;bestehend;existant;esistente;2705327.29;1114528.84;0;101399747;10136219;Via San Gottardo;5;IT;6600;2;Muralto;2705327.29;1114528.84;0;2021-08-24 00:00:00
11171591;TI;5120;Muralto;1004;bestehend;existant;esistente;2705308.387;1114504.38;0;101399748;10136219;Via San Gottardo;3;IT;6600;2;Muralto;2705308.387;1114504.38;0;2021-08-24 00:00:00
11171592;TI;5120;Muralto;1004;bestehend;existant;esistente;2705312.1;1114551.97;0;101399749;10136215;Via Mariani;2;IT;6600;2;Muralto;2705312.1;1114551.97;0;2021-08-24 00:00:00
11171593;TI;5120;Muralto;1004;bestehend;existant;esistente;2705681.73;1114938.36;0;101399750;10136214;Via Orselina;4;IT;6600;2;Muralto;2705681.73;1114938.36;0;2021-08-24 00:00:00
11171597;TI;5120;Muralto;1004;bestehend;existant;esistente;2705400.68;1114525.2;0;101399751;10136219;Via San Gottardo;11;IT;6600;2;Muralto;2705400.68;1114525.2;0;2021-08-24 00:00:00
11171598;TI;5120;Muralto;1004;bestehend;existant;esistente;2705428.099;1114583.145;0;101399752;10137772;Via d'Alberti;8;IT;6600;2;Muralto;2705428.099;1114583.145;0;2021-08-24 00:00:00
