EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11143451;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718828.188;1088405.743;0;101246337;10139141;Vicolo ai Ronchetti;3;IT;6817;0;Maroggia;2718828.188;1088405.743;0;2021-07-19 00:00:00
11143452;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718818.54;1088243.64;0;102174877;10138436;Viale Baldassarre Longhena;5;IT;6817;0;Maroggia;2718818.54;1088243.64;0;2021-07-19 00:00:00
11143453;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718822.92;1088224.45;0;101246338;10138436;Viale Baldassarre Longhena;7;IT;6817;0;Maroggia;2718822.92;1088224.45;0;2021-07-19 00:00:00
11143454;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718850.42;1088160.36;0;101246339;10138436;Viale Baldassarre Longhena;13;IT;6817;0;Maroggia;2718850.42;1088160.36;0;2021-07-19 00:00:00
11143455;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718771.186;1088319.747;0;101246340;10138436;Viale Baldassarre Longhena;24;IT;6817;0;Maroggia;2718771.186;1088319.747;0;2021-07-19 00:00:00
11143456;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718792.565;1088312.11;0;101246341;10138436;Viale Baldassarre Longhena;28;IT;6817;0;Maroggia;2718792.565;1088312.11;0;2021-07-19 00:00:00
11143457;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718798.27;1088301.82;0;101246342;10139143;Vicolo Francesco Somaini;3;IT;6817;0;Maroggia;2718798.27;1088301.82;0;2021-07-19 00:00:00
11143458;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718791.83;1088300.57;0;101604483;10194558;Piazzetta Francesco Somaini;3;IT;6817;0;Maroggia;2718791.83;1088300.57;0;2021-07-19 00:00:00
11143459;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718778.186;1088307.746;0;101604484;10194558;Piazzetta Francesco Somaini;2;IT;6817;0;Maroggia;2718778.186;1088307.746;0;2021-07-19 00:00:00
11143460;TI;5195;Maroggia;1004;bestehend;existant;esistente;2718774.186;1088298.747;0;101246343;10194558;Piazzetta Francesco Somaini;1;IT;6817;0;Maroggia;2718774.186;1088298.747;0;2021-07-19 00:00:00
