EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11100538;TI;5194;Manno;1004;bestehend;existant;esistente;2714683.76;1098412.59;0;101327959;10132830;Via Cantonale;8;IT;6928;0;Manno;2714683.76;1098412.59;0;2021-08-24 00:00:00
11100541;TI;5194;Manno;1004;bestehend;existant;esistente;2715169.92;1099417.46;0;102174583;10128275;Via Violino;7;IT;6928;0;Manno;2715169.92;1099417.46;0;2021-08-24 00:00:00
11100543;TI;5194;Manno;1004;bestehend;existant;esistente;2715079.68;1099486.66;0;101326417;10013663;Via Vedeggio;3;IT;6928;0;Manno;2715079.68;1099486.66;0;2021-08-24 00:00:00
11100544;TI;5194;Manno;1004;bestehend;existant;esistente;2714743.04;1098679.76;0;101326416;10132830;Via Cantonale;16e;IT;6928;0;Manno;2714743.04;1098679.76;0;2021-08-24 00:00:00
11100545;TI;5194;Manno;1004;bestehend;existant;esistente;2714933.46;1098800.58;0;102184130;10132834;Via Gerre;4;IT;6928;0;Manno;2714933.46;1098800.58;0;2021-08-24 00:00:00
11100547;TI;5194;Manno;1004;bestehend;existant;esistente;2714702.21;1099415.38;0;101326415;10167880;Via Asilo;3;IT;6928;0;Manno;2714702.21;1099415.38;0;2021-08-24 00:00:00
11100548;TI;5194;Manno;1004;bestehend;existant;esistente;2714723.74;1099608.9;0;101326414;10132835;Via Grumo;19;IT;6928;0;Manno;2714723.74;1099608.9;0;2021-08-24 00:00:00
11100558;TI;5194;Manno;1004;bestehend;existant;esistente;2714895.22;1099110.14;0;101327962;10132830;Via Cantonale;35a;IT;6928;0;Manno;2714895.22;1099110.14;0;2021-08-24 00:00:00
11100560;TI;5194;Manno;1004;bestehend;existant;esistente;2714877.237;1098976.967;0;101327971;10132838;Via Norello;1;IT;6928;0;Manno;2714877.237;1098976.967;0;2021-08-24 00:00:00
11100561;TI;5194;Manno;1004;bestehend;existant;esistente;2714937.91;1099091.61;0;101327970;10132830;Via Cantonale;31;IT;6928;0;Manno;2714937.91;1099091.61;0;2021-08-24 00:00:00
11100562;TI;5194;Manno;1004;bestehend;existant;esistente;2714914.78;1099014.16;0;101327969;10132830;Via Cantonale;27;IT;6928;0;Manno;2714914.78;1099014.16;0;2021-08-24 00:00:00
11100567;TI;5194;Manno;1004;bestehend;existant;esistente;2714869.16;1098918.74;0;101327966;10132830;Via Cantonale;23;IT;6928;0;Manno;2714869.16;1098918.74;0;2021-08-24 00:00:00
11100567;TI;5194;Manno;1004;bestehend;existant;esistente;2714869.16;1098918.74;1;101881755;10132830;Via Cantonale;23c;IT;6928;0;Manno;2714869.16;1098918.74;0;2021-08-24 00:00:00
11100568;TI;5194;Manno;1004;bestehend;existant;esistente;2714905.74;1098979.13;0;102197580;10132830;Via Cantonale;25;IT;6928;0;Manno;2714905.74;1098979.13;0;2021-08-24 00:00:00
11100569;TI;5194;Manno;1004;bestehend;existant;esistente;2714965.43;1099205.39;0;101327965;10132830;Via Cantonale;39;IT;6928;0;Manno;2714965.43;1099205.39;0;2021-08-24 00:00:00
11100570;TI;5194;Manno;1004;bestehend;existant;esistente;2715018.37;1099096.85;0;101327964;10132830;Via Cantonale;34a;IT;6928;0;Manno;2715018.37;1099096.85;0;2021-08-24 00:00:00
11100573;TI;5194;Manno;1004;bestehend;existant;esistente;2714704.67;1098943.24;0;101340090;10132839;Via Orti;3;IT;6928;0;Manno;2714704.67;1098943.24;0;2021-08-24 00:00:00
11100574;TI;5194;Manno;1004;bestehend;existant;esistente;2714727.73;1098950.28;0;101340089;10132839;Via Orti;1a;IT;6928;0;Manno;2714727.73;1098950.28;0;2021-08-24 00:00:00
11143136;TI;5194;Manno;1004;bestehend;existant;esistente;2714584.238;1099247.957;0;101270972;10132826;Strada Regina;35;IT;6928;0;Manno;2714584.238;1099247.957;0;2021-08-24 00:00:00
