EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11102621;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716841.198;1094626.85;0;101336656;10129473;Riva Paradiso;113;IT;6900;9;Paradiso;2716841.198;1094626.85;0;2021-08-24 00:00:00
11102623;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716754.196;1094366.839;0;101335132;10129488;Viale San Salvatore;13;IT;6900;9;Paradiso;2716754.196;1094366.839;0;2021-08-24 00:00:00
11147210;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716725.78;1093985.29;0;101194580;10129475;Via Alessandro Antonietti;1;IT;6900;9;Paradiso;2716725.78;1093985.29;0;2021-08-24 00:00:00
11147211;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716677.196;1093982.823;0;101194581;10129475;Via Alessandro Antonietti;3;IT;6900;9;Paradiso;2716677.196;1093982.823;0;2021-08-24 00:00:00
11147212;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716704.83;1094012.24;0;101194582;10129475;Via Alessandro Antonietti;4;IT;6900;9;Paradiso;2716704.83;1094012.24;0;2021-08-24 00:00:00
11147213;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716643.196;1093989.824;0;101182923;10129475;Via Alessandro Antonietti;5;IT;6900;9;Paradiso;2716643.196;1093989.824;0;2021-08-24 00:00:00
11147214;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716682;1094016;0;101182924;10129475;Via Alessandro Antonietti;6;IT;6900;9;Paradiso;2716682;1094016;0;2021-08-24 00:00:00
11147215;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716583.197;1093977.825;0;101182925;10129475;Via Alessandro Antonietti;7;IT;6900;9;Paradiso;2716583.197;1093977.825;0;2021-08-24 00:00:00
11147215;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716583.197;1093977.825;1;102590192;10129475;Via Alessandro Antonietti;9;IT;6900;9;Paradiso;2716583.197;1093977.825;0;2021-08-24 00:00:00
11147215;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716583.197;1093977.825;2;102590193;10129479;Via Carona;34;IT;6900;9;Paradiso;2716583.197;1093977.825;0;2021-08-24 00:00:00
11147215;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716583.197;1093977.825;3;102590194;10129479;Via Carona;36;IT;6900;9;Paradiso;2716583.197;1093977.825;0;2021-08-24 00:00:00
11147218;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716643.58;1094035.92;0;101187062;10129475;Via Alessandro Antonietti;10;IT;6900;9;Paradiso;2716643.58;1094035.92;0;2021-08-24 00:00:00
11147219;TI;5210;Paradiso;1004;bestehend;existant;esistente;2716547;1093976;0;102004439;10129475;Via Alessandro Antonietti;11;IT;6900;9;Paradiso;2716547;1093976;0;2021-08-24 00:00:00
