EGID;GDEKT;GDENR;GDENAME;GSTAT;GSTATLAB_DE;GSTATLAB_FR;GSTATLAB_IT;GKODE;GKODN;EDID;EGAID;ESID;STRNAME;DEINR;STRSP;DPLZ4;DPLZZ;DPLZNAME;DKODE;DKODN;DOFFADR;DEXPDAT
11100226;TI;5192;Lugano;1004;bestehend;existant;esistente;2715065.62;1091570.38;0;101321216;10141353;Via Figino;14;IT;6917;0;Barbengo;2715065.62;1091570.38;0;2021-09-05 00:00:00
11100228;TI;5192;Lugano;1004;bestehend;existant;esistente;2714308.34;1090158.13;0;101321223;10127914;Via Cantonale;48;IT;6918;0;Figino;2714308.34;1090158.13;0;2021-09-05 00:00:00
11100229;TI;5192;Lugano;1004;bestehend;existant;esistente;2714920.4;1090490.12;0;101321222;10127914;Via Cantonale;25;IT;6918;0;Figino;2714920.4;1090490.12;0;2021-09-05 00:00:00
11100235;TI;5192;Lugano;1004;bestehend;existant;esistente;2715069.42;1091492.39;0;101321215;10138172;Via Garone;4;IT;6917;0;Barbengo;2715069.42;1091492.39;0;2021-09-05 00:00:00
11100237;TI;5192;Lugano;1004;bestehend;existant;esistente;2714353.88;1090188.96;0;101321214;10160845;Via Mugnee;2;IT;6918;0;Figino;2714353.88;1090188.96;0;2021-09-05 00:00:00
11100239;TI;5192;Lugano;1004;bestehend;existant;esistente;2714547.93;1091004.7;0;101321213;10137093;Via al Municipio;21;IT;6917;0;Barbengo;2714547.93;1091004.7;0;2021-09-05 00:00:00
11100242;TI;5192;Lugano;1004;bestehend;existant;esistente;2714616.13;1090694.87;0;102200025;10138178;Via Soreso;6;IT;6917;0;Barbengo;2714616.13;1090694.87;0;2021-09-05 00:00:00
11100248;TI;5192;Lugano;1004;bestehend;existant;esistente;2714718.1;1090498.51;0;101321220;10138177;Via San Carlo;10;IT;6918;0;Figino;2714718.1;1090498.51;0;2021-09-05 00:00:00
11100259;TI;5192;Lugano;1004;bestehend;existant;esistente;2714962.15;1091588.632;0;101321227;10138169;Via Cadepiano;28;IT;6917;0;Barbengo;2714962.15;1091588.632;0;2021-09-05 00:00:00
11100260;TI;5192;Lugano;1004;bestehend;existant;esistente;2715205.36;1091559.21;0;101321228;10127914;Via Cantonale;16;IT;6917;0;Barbengo;2715205.36;1091559.21;0;2021-09-05 00:00:00
11100314;TI;5192;Lugano;1004;bestehend;existant;esistente;2715988.76;1090567.48;0;101343492;10127784;Via Principale;53;IT;6914;0;Carona;2715988.76;1090567.48;0;2021-09-05 00:00:00
11100315;TI;5192;Lugano;1004;bestehend;existant;esistente;2715967.143;1090523.763;0;101343491;10127784;Via Principale;55;IT;6914;0;Carona;2715967.143;1090523.763;0;2021-09-05 00:00:00
11100326;TI;5192;Lugano;1004;bestehend;existant;esistente;2725041.45;1105183.42;0;101343525;10132119;Moschin;"";IT;6959;2;Certara;2725041.45;1105183.42;0;2021-09-05 00:00:00
11100330;TI;5192;Lugano;1004;bestehend;existant;esistente;2724323.41;1104313.68;0;101343527;10127571;Cimadera;"";IT;6959;4;Cimadera;2724323.41;1104313.68;0;2021-09-05 00:00:00
11100387;TI;5192;Lugano;1004;bestehend;existant;esistente;2719104.41;1099541.06;0;101333474;10138915;Strada Ponte di Valle;26;IT;6964;0;Davesco-Soragno;2719104.41;1099541.06;0;2021-09-05 00:00:00
11100387;TI;5192;Lugano;1004;bestehend;existant;esistente;2719104.41;1099541.06;1;101756295;10139185;Via Favadìn;13;IT;6964;0;Davesco-Soragno;2719104.41;1099541.06;0;2021-09-05 00:00:00
11100389;TI;5192;Lugano;1004;bestehend;existant;esistente;2719372.682;1099481.018;0;101333473;10139176;Via al Ram;1a;IT;6964;0;Davesco-Soragno;2719372.682;1099481.018;0;2021-09-05 00:00:00
11100392;TI;5192;Lugano;1004;bestehend;existant;esistente;2719290.49;1099272.55;0;101333472;10129185;Strada Cantonale;33;IT;6964;0;Davesco-Soragno;2719290.49;1099272.55;0;2021-09-05 00:00:00
11100700;TI;5192;Lugano;1004;bestehend;existant;esistente;2715658.58;1093564.49;0;101343570;10127801;Via Pian Scairolo;13;IT;6912;0;Pazzallo;2715658.58;1093564.49;0;2021-09-05 00:00:00
11100700;TI;5192;Lugano;1004;bestehend;existant;esistente;2715658.58;1093564.49;1;101756296;10127801;Via Pian Scairolo;15;IT;6912;0;Pazzallo;2715658.58;1093564.49;0;2021-09-05 00:00:00
11100704;TI;5192;Lugano;1004;bestehend;existant;esistente;2716074.62;1093712.4;0;101335138;10127791;Via alla Sguancia;11;IT;6912;0;Pazzallo;2716074.62;1093712.4;0;2021-09-05 00:00:00
11100705;TI;5192;Lugano;1004;bestehend;existant;esistente;2715508.55;1093000.48;0;101335142;10127801;Via Pian Scairolo;47;IT;6912;0;Pazzallo;2715508.55;1093000.48;0;2021-09-05 00:00:00
11100708;TI;5192;Lugano;1004;bestehend;existant;esistente;2715707.19;1093713.839;0;101335141;10127801;Via Pian Scairolo;9;IT;6912;0;Pazzallo;2715707.19;1093713.839;0;2021-09-05 00:00:00
