index;geometry;length
0;LINESTRING (716797.3677840051 94710.60134175279, 716811.5779796479 94658.73853223486, 716817.8539039872 94635.83218364579, 716779.1694959825 94620.7677013869, 716730.7555731212 94603.04820512916, 716715.5587598423 94597.36371312072, 716679.9598275849 94581.4140355109, 716659.6 94589.89999999999);247.88509058321785
1;LINESTRING (716797.3677840051 94710.60134175279, 716775.8 94686.5);32.34260319105886
2;LINESTRING (716372.5871745331 94844.69435886746, 716363.239123467 94838.73359497897);11.08678334178708
3;LINESTRING (716363.239123467 94838.73359497897, 716348.6309129404 94837.13075381203);14.695880871763345
4;LINESTRING (716348.6309129404 94837.13075381203, 716337.3284609162 94836.91436566605);11.30452323580314
5;LINESTRING (716337.3284609162 94836.91436566605, 716324.7013207478 94836.67264093069, 716299.342843883 94840.82379767539, 716291.3637359501 94840.67109821703, 716286.0417483123 94840.56925499221, 716277.4549988853 94837.74756342356, 716261.7121833458 94826.18305437212, 716253.8725412216 94818.73916929422, 716248.7788881614 94806.70018413258, 716247.6365271742 94796.73816404991, 716250.5170126925 94785.51884865436, 716254.0304699457 94775.64589396596, 716259.0232387503 94763.3884717489, 716270.1531486332 94741.44172844735, 716287.3381793065 94762.69605418941, 716300.4113015635 94767.58275542663, 716314.6977651442 94768.18974953344, 716340 94785.39999999999);260.2062884120319
6;LINESTRING (716337.3284609162 94836.91436566605, 716338.4 94813.39999999999);23.538767781788685
7;LINESTRING (716810.8756134335 94882.34583815762, 716801.7037339543 94855.55119484513);28.320951315667383
8;LINESTRING (716801.7037339543 94855.55119484513, 716791.8324025529 94825.62986665091);31.507603281471603
9;LINESTRING (716791.8324025529 94825.62986665091, 716787.8392526259 94806.38435698336);19.655403549748527
10;LINESTRING (716787.8392526259 94806.38435698336, 716786.2905536478 94789.78762035632);16.668837247752506
11;LINESTRING (716786.2905536478 94789.78762035632, 716786.1678353895 94766.7360429309);23.051904076906155
12;LINESTRING (716786.1678353895 94766.7360429309, 716789.4801484603 94741.97147610702);24.98509931645842
13;LINESTRING (716789.4801484603 94741.97147610702, 716797.3677840051 94710.60134175279);32.346562783261355
14;LINESTRING (716789.4801484603 94741.97147610702, 716735.7063803016 94722.53669613969, 716663.7466563788 94692.04586738766, 716653.5281848592 94688.63638116106, 716643.489464113 94670.20890376747, 716639.7862273434 94662.47699147568, 716659.2 94657.89999999999);195.60680491812118
15;LINESTRING (716433.341544991 94892.12328202969, 716411.9496500702 94869.64270593249);31.032071635103993
16;LINESTRING (716411.9496500702 94869.64270593249, 716402.6676307023 94866.30717237384);9.863146945427937
17;LINESTRING (716402.6676307023 94866.30717237384, 716391.774586295 94856.04716542565);14.964162490264947
18;LINESTRING (716391.774586295 94856.04716542565, 716372.5871745331 94844.69435886746);22.294460901100493
19;LINESTRING (716846.2548288307 94989.41045133681, 716810.8756134335 94882.34583815762);112.75868160513676
20;LINESTRING (716458.3763064492 94965.10844910896, 716452.609798191 94952.62275809415);13.753003221439661
