index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot
0;POINT (716841.2 94626.89999999999);11102621;40d;;Riva Paradiso 113;Paradiso;6900;Paradiso;1060;1230.0;8013.0;51.0;1.0;2716841.198;1094626.85;51.0;73;3723.0;7;357.0;4080.0
1;POINT (716754.2 94366.89999999999);11102623;82a;;Viale San Salvatore 13;Paradiso;6900;Paradiso;1060;1122.0;8014.0;615.0;5.0;2716754.196;1094366.839;3075.0;131;402825.0;21;64575.0;467400.0
2;POINT (716725.7 93985.3);11147210;206a;;Via Alessandro Antonietti 1;Paradiso;6900;Paradiso;1020;1122.0;8018.0;274.0;5.0;2716725.78;1093985.29;1370.0;60;82200.0;21;28770.0;110970.0
3;POINT (716677.2 93982.89999999999);11147211;450c;;Via Alessandro Antonietti 3;Paradiso;6900;Paradiso;1020;1110.0;8013.0;118.0;1.0;2716677.196;1093982.823;118.0;141;16638.0;14;1652.0;18290.0
4;POINT (716704.8 94012.3);11147212;438d;;Via Alessandro Antonietti 4;Paradiso;6900;Paradiso;1020;1110.0;8013.0;128.0;1.0;2716704.83;1094012.24;128.0;141;18048.0;14;1792.0;19840.0
5;POINT (716643.2 93989.89999999999);11147213;495a;;Via Alessandro Antonietti 5;Paradiso;6900;Paradiso;1020;1122.0;8014.0;680.0;6.0;2716643.196;1093989.824;4080.0;131;534480.0;21;85680.0;620160.0
6;POINT (716682 94016.10000000001);11147214;434a;;Via Alessandro Antonietti 6;Paradiso;6900;Paradiso;1020;1110.0;8013.0;166.0;1.0;2716682.0;1094016.0;166.0;141;23406.0;14;2324.0;25730.0
7;POINT (716643.5 94036);11147218;459c;;Via Alessandro Antonietti 10;Paradiso;6900;Paradiso;1020;1121.0;8013.0;239.0;2.0;2716643.58;1094035.92;478.0;141;67398.0;21;10038.0;77436.0
8;POINT (716595.4 94028.7);11147220;309a;;Via Alessandro Antonietti 12;Paradiso;6900;Paradiso;1020;1110.0;8013.0;187.0;2.0;2716595.46;1094028.6;374.0;141;52734.0;14;5236.0;57970.0
9;POINT (716486.1 93969.8);11147223;451d;Abitazione da 3 a 10 appartamenti (0);Via Alessandro Antonietti 17;Paradiso;6900;Paradiso;1030;1122.0;8017.0;649.0;7.0;2716486.1;1093969.74;4543.0;76;345268.0;21;95403.0;440671.0
10;POINT (716512.8 93943.2);11147224;451c;;Via Alessandro Antonietti 17a;Paradiso;6900;Paradiso;1020;1122.0;8017.0;275.0;5.0;2716512.81;1093943.17;1375.0;76;104500.0;21;28875.0;133375.0
11;POINT (716938.2 94320.8);11147225;149a;;Via Barzaghi 1;Paradiso;6900;Paradiso;1020;1122.0;8013.0;109.0;3.0;2716938.25;1094320.76;327.0;141;46107.0;21;6867.0;52974.0
12;POINT (716952.2 94261.60000000001);11147226;153i;;Via Barzaghi 9;Paradiso;6900;Paradiso;1020;1122.0;8014.0;293.0;7.0;2716952.25;1094261.53;2051.0;131;268681.0;21;43071.0;311752.0
13;POINT (717264.2 94112.89999999999);11147229;618a;;Via Boggia 16;Paradiso;6900;Paradiso;1020;1121.0;8011.0;84.0;3.0;2717264.213;1094112.833;252.0;154;38808.0;21;5292.0;44100.0
14;POINT (717497.6 94079.7);11147230;448c;;Via Boggia 17;Paradiso;6900;Paradiso;1020;1121.0;8013.0;110.0;2.0;2717497.6;1094079.65;220.0;141;31020.0;21;4620.0;35640.0
15;POINT (717388 94054.10000000001);11147231;547a;;Via Boggia 18;Paradiso;6900;Paradiso;1020;1110.0;8011.0;255.0;3.0;2717388.0;1094054.0;765.0;154;117810.0;14;10710.0;128520.0
