index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot
0;POINT (718926.9 88009);11100593;275a;;Viale Stazione 14;Maroggia;6817;Maroggia;1060;1230.0;8011.0;106.0;2.0;2718926.915;1088008.949;212.0;73;15476.0;7;1484.0;16960.0
1;POINT (719319.2 88473.8);11100596;82a;STAND DI TIRO;Via Val Mara 10;Maroggia;6817;Maroggia;1060;1274.0;8011.0;61.0;1.0;2719319.197;1088473.713;61.0;0;0.0;0;0.0;0.0
2;POINT (718613.1 88599.8);11143425;3a;;Viale Baldassarre Longhena 16;Maroggia;6817;Maroggia;1040;1122.0;8012.0;302.0;2.0;2718613.186;1088599.753;604.0;149;89996.0;21;12684.0;102680.0
3;POINT (718981.5 88610.3);11143426;31a;;Piazzo frazione 1;Maroggia;6817;Maroggia;1020;1110.0;8012.0;98.0;2.0;2718981.569;1088610.271;196.0;149;29204.0;14;2744.0;31948.0
4;POINT (719148.2 88673.8);11143427;36a;;Piazzo frazione 15;Maroggia;6817;Maroggia;1020;1110.0;8014.0;117.0;2.0;2719148.196;1088673.721;234.0;131;30654.0;14;3276.0;33930.0
5;POINT (719004.7 88453.3);11143428;45a;;Via al Vallone 3;Maroggia;6817;Maroggia;1020;1121.0;8013.0;130.0;2.0;2719004.7;1088453.28;260.0;141;36660.0;21;5460.0;42120.0
6;POINT (719018.2 88418.8);11143429;49a;;Via al Vallone 1;Maroggia;6817;Maroggia;1060;1122.0;8014.0;254.0;2.0;2719018.191;1088418.731;508.0;131;66548.0;21;10668.0;77216.0
7;POINT (719170.6 88596.60000000001);11143430;60a;;Piazzo frazione 14;Maroggia;6817;Maroggia;1020;1110.0;8013.0;192.0;2.0;2719170.61;1088596.54;384.0;141;54144.0;14;5376.0;59520.0
8;POINT (719275.7 88335.3);11143431;80a;;Via Val Mara 9;Maroggia;6817;Maroggia;1020;1110.0;8012.0;46.0;2.0;2719275.701;1088335.241;92.0;149;13708.0;14;1288.0;14996.0
9;POINT (719196.3 88072.39999999999);11143433;459a;;Via alle Cantine 1;Maroggia;6817;Maroggia;1020;1122.0;8012.0;105.0;3.0;2719196.35;1088072.36;315.0;149;46935.0;21;6615.0;53550.0
10;POINT (719170.2 88000.8);11143434;93a;;Via Ressiga 1;Maroggia;6817;Maroggia;1020;1122.0;8012.0;62.0;2.0;2719170.191;1088000.727;124.0;149;18476.0;21;2604.0;21080.0
11;POINT (719124.7 87969.3);11143435;94a;;Via Ressiga 5;Maroggia;6817;Maroggia;1020;1110.0;8012.0;85.0;2.0;2719124.778;1087969.291;170.0;149;25330.0;14;2380.0;27710.0
12;POINT (719093.3 88092);11143436;112a;;Vicolo del Tiglio 6;Maroggia;6817;Maroggia;1020;1110.0;8012.0;145.0;1.0;2719093.34;1088091.93;145.0;149;21605.0;14;2030.0;23635.0
13;POINT (719134.7 88068.5);11143437;114a;;Vicolo del Tiglio 2;Maroggia;6817;Maroggia;1020;1121.0;8012.0;175.0;3.0;2719134.737;1088068.44;525.0;149;78225.0;21;11025.0;89250.0
14;POINT (719139.7 88035.89999999999);11143438;116a;;Vicolo del Tiglio 1;Maroggia;6817;Maroggia;1020;1121.0;8012.0;149.0;3.0;2719139.75;1088035.8;447.0;149;66603.0;21;9387.0;75990.0
