index;geometry;EGID;mappale;nome;indirizzo;quartiere;NPA;comune;categoria;classe;epoca_costruzione;superficie;num_piani;coord_e;coord_n;SRE;k_SH;fab_SH;k_DHW;fab_DHW;fab_tot
405;POINT (715186.7 99025.2);191855549;441b;Autorimessa;Via Pianoni ;Manno;6928;Manno;1060;1242.0;8014.0;56.0;1.0;2715186.771;1099025.132;56.0;0;0.0;0;0.0;0.0
406;POINT (714787.2 99443.8);191855550;317b;Autorimessa;Via Grumo ;Manno;6928;Manno;1060;1242.0;8014.0;80.0;1.0;2714787.286;1099443.786;80.0;0;0.0;0;0.0;0.0
407;POINT (715084.1 98171.7);191855551;494a;Camera di raccolta (acquedotto);Via Ca' del Caccia ;Manno;6928;Manno;1060;1252.0;8015.0;117.0;1.0;2715084.175;1098171.661;117.0;0;0.0;0;0.0;0.0
408;POINT (714674.6 97781.60000000001);191855552;518a;Deposito;Via Pianoni ;Manno;6928;Manno;1060;1252.0;8021.0;578.0;1.0;2714674.641;1097781.591;578.0;0;0.0;0;0.0;0.0
409;POINT (714719.3 97786.7);191855553;518b;Uffici + refettorio;Via Pianoni ;Manno;6928;Manno;1060;1220.0;8021.0;299.0;2.0;2714719.371;1097786.622;598.0;54;32292.0;7;4186.0;36478.0
410;POINT (714752.7 97932.39999999999);191855554;517b;Deposito;Via Cantonale ;Manno;6928;Manno;1060;1252.0;8012.0;55.0;1.0;2714752.7;1097932.342;55.0;0;0.0;0;0.0;0.0
411;POINT (714666.3 99343);191855555;285b;Autorimessa;Via Carà ;Manno;6928;Manno;1060;1242.0;8019.0;38.0;1.0;2714666.302;1099342.901;38.0;0;0.0;0;0.0;0.0
412;POINT (714547.7 98656.89999999999);191855556;459b;Agriturismo (edificio ristorazione);Strada Costa ;Manno;6928;Manno;1060;1211.0;8012.0;112.0;2.0;2714547.773;1098656.838;224.0;149;33376.0;21;4704.0;38080.0
413;POINT (714802 99159.8);191855557;893b;Autorimessa;Via Norello ;Manno;6928;Manno;1060;1242.0;8020.0;50.0;1.0;2714802.016;1099159.723;50.0;0;0.0;0;0.0;0.0
414;POINT (715272.7 97693.60000000001);191855558;498a;Stalla per bovini;Via Ca' del Caccia ;Manno;6928;Manno;1060;1271.0;8012.0;1739.0;2.0;2715272.738;1097693.524;3478.0;0;0.0;0;0.0;0.0
415;POINT (714608.5 99525);191855559;218b;Grottino;Strada Regina ;Manno;6928;Manno;1060;1274.0;8020.0;52.0;1.0;2714608.59;1099524.943;52.0;0;0.0;0;0.0;0.0
416;POINT (714845.9 99549.60000000001);191855560;326a;Autorimessa;Via Vignole ;Manno;6928;Manno;1060;1242.0;8017.0;51.0;1.0;2714845.973;1099549.508;51.0;0;0.0;0;0.0;0.0
417;POINT (714785.2 98942.2);191855561;425c;Autorimessa;Via Orti ;Manno;6928;Manno;1060;1242.0;8016.0;248.0;1.0;2714785.282;1098942.121;248.0;0;0.0;0;0.0;0.0
418;POINT (714323.6 99571.89999999999);191855562;155b;Autorimessa;Via Vecchio Castagno ;Manno;6928;Manno;1060;1242.0;8021.0;104.0;1.0;2714323.687;1099571.878;104.0;0;0.0;0;0.0;0.0
